time, altitude, acceleration_x, acceleration_y, acceleration_z
1427,2090.846924,0.000000,0.000000,0.000000
1448,637.832458,0.000000,0.000000,0.000000
1469,637.832458,0.000000,0.000000,0.000000
1485,637.687500,0.000000,0.000000,0.000000
1506,637.653809,0.000000,0.000000,0.000000
1527,637.653809,0.000000,0.000000,0.000000
1543,637.755432,0.000000,0.000000,0.000000
1564,637.807312,0.000000,0.000000,0.000000
1585,637.807312,0.000000,0.000000,0.000000
1601,637.853333,0.000000,0.000000,0.000000
1622,637.790222,0.000000,0.000000,0.000000
1646,637.790222,0.000000,0.000000,0.000000
1661,637.820679,0.000000,0.000000,0.000000
1683,637.750610,0.000000,0.000000,0.000000
1704,637.750610,0.000000,0.000000,0.000000
1719,637.827637,0.000000,0.000000,0.000000
1741,637.808411,0.000000,0.000000,0.000000
1762,637.808411,0.000000,0.000000,0.000000
1777,637.732971,0.000000,0.000000,0.000000
1799,637.732422,0.000000,0.000000,0.000000
1820,637.732422,0.000000,0.000000,0.000000
1835,637.644226,0.000000,0.000000,0.000000
1853,637.613708,0.000000,0.000000,0.000000
1875,637.613708,0.000000,0.000000,0.000000
1890,637.737793,0.000000,0.000000,0.000000
1913,637.762390,0.000000,0.000000,0.000000
1935,637.762390,0.280000,-0.220000,9.510000
1953,637.739929,0.370000,-0.320000,9.570000
1971,637.727112,0.260000,-0.270000,9.570000
1993,637.727112,0.300000,-0.270000,9.600000
2009,637.729736,0.250000,-0.200000,9.590000
2032,637.735657,0.350000,-0.290000,9.600000
2054,637.735657,0.420000,-0.230000,9.600000
2072,637.796082,0.450000,-0.210000,9.560000
2096,637.770935,0.240000,-0.150000,9.590000
2117,637.746887,0.270000,-0.190000,9.590000
2139,637.746887,0.290000,-0.130000,9.570000
2155,637.709961,0.330000,-0.220000,9.580000
2176,637.738342,0.270000,-0.260000,9.590000
2197,637.738342,0.360000,-0.270000,9.570000
2214,637.760254,0.330000,-0.350000,9.610000
2231,637.736694,0.330000,-0.260000,9.600000
2254,637.736694,0.340000,-0.200000,9.590000
2272,637.670959,0.350000,-0.190000,9.590000
2287,637.819641,0.270000,-0.260000,9.560000
2312,637.819641,0.410000,-0.340000,9.610000
2328,637.787537,0.330000,-0.190000,9.570000
2350,637.944763,0.470000,-0.330000,9.540000
2374,637.944763,0.270000,-0.120000,9.580000
2391,638.078979,0.400000,-0.320000,9.570000
2414,638.073120,0.230000,-0.220000,9.600000
2431,638.012146,0.390000,-0.370000,9.600000
2454,638.012146,0.240000,-0.220000,9.570000
2472,638.055481,0.310000,-0.170000,9.580000
2494,638.097717,0.220000,-0.250000,9.580000
2516,638.075806,0.290000,-0.280000,9.610000
2537,638.075806,0.320000,-0.160000,9.540000
2555,638.048523,0.490000,-0.440000,9.580000
2573,638.084900,0.270000,0.000000,9.560000
2595,638.084900,0.200000,-0.250000,9.600000
2611,638.155457,0.350000,-0.300000,9.570000
2626,638.241028,0.280000,-0.290000,9.530000
2648,638.241028,0.380000,-0.270000,9.580000
2664,638.187012,0.240000,-0.190000,9.560000
2682,638.150635,0.180000,-0.270000,9.590000
2705,638.150635,0.280000,-0.320000,9.580000
2723,638.116943,0.300000,-0.340000,9.580000
2745,638.103577,0.350000,-0.250000,9.550000
2770,638.104675,0.420000,-0.190000,9.540000
2793,638.085388,0.420000,-0.320000,9.570000
2815,638.085388,0.460000,-0.290000,9.580000
2833,638.064026,0.310000,-0.310000,9.560000
2849,637.966125,0.330000,-0.160000,9.550000
2873,637.966125,0.090000,-0.210000,9.610000
2888,638.001465,0.340000,-0.310000,9.580000
2905,637.955444,0.180000,-0.240000,9.610000
2927,637.955444,0.200000,-0.150000,9.620000
2944,637.804077,0.290000,-0.280000,9.570000
2960,637.798218,0.440000,-0.270000,9.530000
2985,637.798218,0.440000,-0.220000,9.540000
3003,637.769897,0.260000,-0.250000,9.570000
3018,637.783752,0.440000,-0.330000,9.590000
3041,637.783752,0.400000,-0.280000,9.530000
3057,637.714783,0.710000,-0.640000,9.580000
3078,637.850098,0.380000,-0.220000,9.560000
3100,637.850098,0.270000,-0.330000,9.640000
3123,637.908386,0.220000,-0.260000,9.620000
3138,637.826538,0.330000,-0.380000,9.580000
3160,637.715881,0.230000,-0.260000,9.580000
3183,637.715881,0.260000,-0.220000,9.570000
3198,637.826050,0.320000,-0.110000,9.550000
3217,637.794495,0.350000,-0.270000,9.570000
3238,637.794495,0.350000,-0.180000,9.560000
3259,637.801941,0.310000,-0.160000,9.570000
3281,637.729736,0.470000,-0.410000,9.550000
3297,637.790222,0.420000,-0.400000,9.610000
3318,637.790222,0.310000,-0.190000,9.580000
3339,637.812134,0.260000,-0.200000,9.590000
3361,637.798218,0.290000,-0.230000,9.590000
3384,637.846375,0.220000,-0.320000,9.570000
3406,637.846375,0.330000,-0.270000,9.560000
3424,637.778442,0.390000,-0.190000,9.580000
3448,637.789673,0.430000,-0.170000,9.550000
3469,637.793396,0.380000,-0.350000,9.560000
3492,637.793396,0.210000,-0.190000,9.600000
3508,637.751709,0.310000,-0.090000,9.620000
3525,637.754395,0.000000,0.080000,9.560000
3547,637.754395,0.340000,-0.250000,9.570000
3563,637.750061,0.310000,-0.330000,9.600000
3586,637.736694,0.300000,-0.400000,9.580000
3608,637.736694,0.480000,-0.340000,9.570000
3625,637.631897,0.440000,-0.270000,9.580000
3642,637.785400,0.290000,-0.160000,9.600000
3667,637.709473,0.280000,-0.220000,9.540000
3684,637.709473,0.450000,-0.330000,9.630000
3707,637.669861,0.430000,-0.120000,9.580000
3728,637.781128,0.330000,-0.180000,9.540000
3750,637.781128,0.350000,-0.140000,9.560000
3767,637.778442,0.100000,-0.310000,9.640000
3785,637.729248,0.210000,-0.220000,9.610000
3807,637.729248,0.300000,-0.280000,9.610000
3825,637.707825,0.360000,-0.130000,9.560000
3841,637.651672,0.560000,-0.560000,9.580000
3862,637.651672,0.200000,-0.180000,9.570000
3878,637.591248,0.250000,-0.300000,9.590000
3897,637.497131,0.500000,-0.160000,9.540000
3918,637.497131,0.330000,-0.230000,9.610000
3936,637.413696,0.370000,-0.100000,9.600000
3953,637.545288,0.320000,-0.310000,9.590000
3976,637.545288,0.340000,-0.190000,9.550000
3992,637.658081,0.390000,-0.300000,9.540000
4008,637.507263,0.280000,-0.250000,9.550000
4030,637.507263,0.170000,-0.240000,9.620000
4047,637.569885,0.210000,-0.210000,9.570000
4069,637.577332,0.240000,-0.280000,9.630000
4090,637.549561,0.300000,-0.220000,9.580000
4113,637.549561,0.510000,-0.170000,9.550000
4129,637.611572,0.420000,-0.330000,9.570000
4150,637.515320,0.350000,-0.350000,9.590000
4172,637.515320,0.400000,-0.150000,9.580000
4188,637.658630,0.380000,-0.180000,9.520000
4206,637.757019,0.350000,-0.130000,9.590000
4228,637.757019,0.190000,-0.330000,9.610000
4246,637.840454,0.050000,-0.180000,9.570000
4268,637.870422,0.250000,-0.180000,9.590000
4289,637.882690,0.380000,-0.190000,9.560000
4311,637.882690,0.210000,-0.130000,9.620000
4328,637.833008,0.130000,-0.200000,9.600000
4352,637.915894,0.380000,-0.230000,9.560000
4368,637.995056,0.580000,-0.290000,9.540000
4390,637.995056,0.480000,-0.290000,9.550000
4407,638.030884,0.450000,-0.330000,9.580000
4425,638.211121,0.230000,-0.180000,9.570000
4448,638.211121,0.220000,-0.210000,9.550000
4463,638.330872,0.130000,-0.220000,9.630000
4487,638.376343,0.300000,-0.230000,9.550000
4509,638.376343,0.380000,-0.170000,9.540000
4527,638.422363,0.240000,-0.290000,9.580000
4549,638.505249,0.260000,-0.040000,9.570000
4568,638.473145,0.210000,-0.180000,9.580000
4590,638.473145,0.360000,-0.280000,9.510000
4607,638.470520,0.450000,-0.310000,9.610000
4625,638.457092,0.310000,-0.330000,9.580000
4648,638.457092,0.450000,-0.250000,9.560000
4664,638.500977,0.300000,-0.270000,9.570000
4687,638.352844,0.400000,-0.360000,9.560000
4709,638.352844,0.240000,-0.300000,9.580000
4727,638.268860,0.220000,-0.220000,9.630000
4749,638.283325,0.220000,-0.130000,9.600000
4770,638.317017,0.390000,-0.330000,9.590000
4796,638.317017,0.330000,-0.270000,9.550000
4812,638.376892,0.430000,-0.210000,9.570000
4833,638.379578,0.190000,-0.130000,9.570000
4857,638.379578,0.310000,-0.140000,9.550000
4872,638.458740,0.290000,-0.130000,9.580000
4895,638.557129,0.480000,-0.270000,9.530000
4918,638.557129,0.210000,-0.260000,9.590000
4933,638.517578,0.410000,-0.370000,9.610000
4957,638.557678,0.190000,-0.310000,9.600000
4979,638.557678,0.270000,-0.380000,9.580000
4997,638.578003,0.260000,-0.090000,9.630000
5013,638.480652,0.280000,-0.110000,9.570000
5038,638.480652,0.180000,-0.230000,9.610000
5056,638.405212,0.220000,-0.170000,9.590000
5072,638.332520,0.150000,-0.250000,9.600000
5093,638.332520,0.370000,-0.120000,9.520000
5110,638.253906,0.350000,-0.040000,9.650000
5128,638.268311,0.510000,-0.240000,9.510000
5150,638.268311,0.270000,-0.350000,9.620000
5165,638.274231,0.390000,-0.260000,9.540000
5189,638.242676,0.220000,-0.460000,9.620000
5211,638.242676,0.480000,-0.300000,9.550000
5229,638.270996,0.220000,-0.140000,9.610000
5252,638.343201,0.350000,-0.290000,9.600000
5273,638.459290,0.230000,-0.310000,9.590000
5296,638.459290,0.400000,-0.190000,9.540000
5312,638.536804,0.420000,-0.160000,9.570000
5333,638.604736,0.320000,-0.120000,9.570000
5354,638.604736,0.220000,-0.190000,9.600000
5370,638.568359,0.220000,-0.270000,9.620000
5388,638.634705,0.230000,-0.300000,9.570000
5411,638.634705,0.300000,-0.300000,9.610000
5428,638.796753,0.230000,-0.180000,9.580000
5444,638.819763,0.300000,-0.220000,9.600000
5468,638.819763,0.190000,-0.400000,9.580000
5484,638.788208,0.380000,-0.240000,9.590000
5507,638.760376,0.450000,-0.370000,9.570000
5530,638.760376,0.540000,-0.300000,9.570000
5548,638.604736,0.370000,-0.230000,9.580000
5563,638.569458,0.450000,-0.280000,9.540000
5585,638.569458,0.350000,-0.220000,9.570000
5601,638.377441,0.280000,-0.360000,9.570000
5617,638.278503,0.270000,-0.250000,9.590000
5640,638.278503,0.350000,-0.280000,9.600000
5658,638.372070,0.310000,-0.320000,9.590000
5681,638.505798,0.340000,-0.220000,9.550000
